Part,Location,Model,Date,Value
PD2976,A,Prophet,2025-03-01,503.39832748382946
PD2976,A,Prophet,2025-04-01,576.422067893609
PD2976,A,Prophet,2025-05-01,598.7103763816654
PD2976,A,Prophet,2025-06-01,888.2782412474246
PD2976,A,Prophet,2025-07-01,783.1604729590483
PD2976,A,Prophet,2025-08-01,833.4769802229844
PD2976,A,Prophet,2025-09-01,856.4093747302991
PD2976,A,Prophet,2025-10-01,888.0420900545672
PD2976,A,Prophet,2025-11-01,679.8236941195229
PD2976,A,Prophet,2025-12-01,631.7035730521643
PD2976,A,XGBoost,2025-01-01,550.1343994140625
PD2976,A,XGBoost,2025-02-01,441.7989196777344
PD2976,A,XGBoost,2025-03-01,420.74078369140625
PD2976,A,XGBoost,2025-04-01,648.92578125
PD2976,A,XGBoost,2025-05-01,688.81689453125
PD2976,A,XGBoost,2025-06-01,832.5051879882812
PD2976,A,XGBoost,2025-07-01,734.1929931640625
PD2976,A,XGBoost,2025-08-01,793.7302856445312
PD2976,A,XGBoost,2025-09-01,793.2387084960938
PD2976,A,XGBoost,2025-10-01,793.7027587890625
PD2976,A,XGBoost,2025-11-01,673.5718383789062
PD2976,A,XGBoost,2025-12-01,737.6860961914062
PD2976,A,N-HiTS,2025-01-01,347.105536516256
PD2976,A,N-HiTS,2025-02-01,378.3864057130857
PD2976,A,N-HiTS,2025-03-01,315.1048916829451
PD2976,A,N-HiTS,2025-04-01,390.0536487819109
PD2976,A,N-HiTS,2025-05-01,459.07417102567547
PD2976,A,N-HiTS,2025-06-01,770.1353653007945
PD2976,A,N-HiTS,2025-07-01,840.6964788787235
PD2976,A,N-HiTS,2025-08-01,879.8877748911217
PD2976,A,N-HiTS,2025-09-01,858.1508780302555
PD2976,A,N-HiTS,2025-10-01,910.3316984847945
PD2976,A,N-HiTS,2025-11-01,709.8871414799291
PD2976,A,N-HiTS,2025-12-01,608.8010712924188
PD2976,A,ETS,2025-01-01,572.1735356414692
PD2976,A,ETS,2025-02-01,585.2895605414715
PD2976,A,ETS,2025-03-01,530.7077113760845
PD2976,A,ETS,2025-04-01,611.1482154037706
PD2976,A,ETS,2025-05-01,618.6556281391097
PD2976,A,ETS,2025-06-01,912.1438076164302
PD2976,A,ETS,2025-07-01,829.6700237288085
PD2976,A,ETS,2025-08-01,873.6749167669619
PD2976,A,ETS,2025-09-01,877.7685519887027
PD2976,A,ETS,2025-10-01,935.9123028868853
PD2976,A,ETS,2025-11-01,737.596191602607
PD2976,A,ETS,2025-12-01,677.7747460471758
PD2976,A,Weighted Ensemble,2025-01-01,565.6776808698697
PD2976,A,Weighted Ensemble,2025-02-01,523.0269797641956
PD2976,A,Weighted Ensemble,2025-03-01,468.90340194929365
PD2976,A,Weighted Ensemble,2025-04-01,622.2183336501861
PD2976,A,Weighted Ensemble,2025-05-01,626.0776585958931
PD2976,A,Weighted Ensemble,2025-06-01,869.1876304497048
PD2976,A,Weighted Ensemble,2025-07-01,797.553853645477
PD2976,A,Weighted Ensemble,2025-08-01,820.5095340528342
PD2976,A,Weighted Ensemble,2025-09-01,822.8079864861429
PD2976,A,Weighted Ensemble,2025-10-01,861.6526048869403
PD2976,A,Weighted Ensemble,2025-11-01,695.9191793038658
PD2976,A,Weighted Ensemble,2025-12-01,672.0546016369258
PD2976,B,SARIMA,2025-01-01,564.3431389652911
PD2976,B,SARIMA,2025-02-01,543.8786251860714
PD2976,B,SARIMA,2025-03-01,627.6029749185864
PD2976,B,SARIMA,2025-04-01,649.2970299280186
PD2976,B,SARIMA,2025-05-01,632.3395099635866
PD2976,B,SARIMA,2025-06-01,835.0629949760958
PD2976,B,SARIMA,2025-07-01,821.6100134791244
PD2976,B,SARIMA,2025-08-01,937.6070069711386
PD2976,B,SARIMA,2025-09-01,927.9869969579411
PD2976,B,SARIMA,2025-10-01,781.7985052188164
PD2976,B,SARIMA,2025-11-01,736.2179974586006
PD2976,B,SARIMA,2025-12-01,703.9839904493734
PD2976,B,Prophet,2025-01-01,582.192187137574
PD2976,B,Prophet,2025-02-01,556.0896369150668
PD2976,B,Prophet,2025-03-01,595.1211503706191
PD2976,B,Prophet,2025-04-01,636.1580500790077
PD2976,B,Prophet,2025-05-01,612.6679012991917
PD2976,B,Prophet,2025-06-01,804.6388493009948
PD2976,B,Prophet,2025-07-01,839.5302170089341
PD2976,B,Prophet,2025-08-01,854.4299395690168
PD2976,B,Prophet,2025-09-01,876.5556616807307
PD2976,B,Prophet,2025-10-01,804.3419984933593
PD2976,B,Prophet,2025-11-01,729.8884346458899
PD2976,B,Prophet,2025-12-01,664.0394304697345
PD2976,B,XGBoost,2025-01-01,490.4370422363281
PD2976,B,XGBoost,2025-02-01,517.2462158203125
PD2976,B,XGBoost,2025-03-01,606.3624267578125
PD2976,B,XGBoost,2025-04-01,660.43017578125
PD2976,B,XGBoost,2025-05-01,666.0167846679688
PD2976,B,XGBoost,2025-06-01,788.5027465820312
PD2976,B,XGBoost,2025-07-01,781.8947143554688
PD2976,B,XGBoost,2025-08-01,781.5999145507812
PD2976,B,XGBoost,2025-09-01,817.7486572265625
PD2976,B,XGBoost,2025-10-01,715.9351196289062
PD2976,B,XGBoost,2025-11-01,640.2456665039062
PD2976,B,XGBoost,2025-12-01,661.3489379882812
PD2976,B,N-HiTS,2025-01-01,411.6441656910935
PD2976,B,N-HiTS,2025-02-01,417.4275268182222
PD2976,B,N-HiTS,2025-03-01,465.04245734918766
PD2976,B,N-HiTS,2025-04-01,514.6275700278211
PD2976,B,N-HiTS,2025-05-01,564.7375658653925
PD2976,B,N-HiTS,2025-06-01,697.1250821744129
PD2976,B,N-HiTS,2025-07-01,769.931967334834
PD2976,B,N-HiTS,2025-08-01,867.7436525665378
PD2976,B,N-HiTS,2025-09-01,898.3431859965532
PD2976,B,N-HiTS,2025-10-01,807.060136402864
PD2976,B,N-HiTS,2025-11-01,701.9840230745515
PD2976,B,N-HiTS,2025-12-01,657.7722589703931
PD2976,B,ETS,2025-01-01,593.2708627131321
